UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2025/04/03T19:56:59z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,54,64,42,976.61,,26352,0,100,0.74,1.3,1.48,0.74,1.3,1.48,5,5,324.91,87.37,8.0,1.17,0.26,0.26,1.14,1.5,1.82,1.14,1.5,1.82,6,6,399.75,107.23,9.57,0.57,0.32,0.02,
2025/04/03T19:58:59z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,54,64,42,976.62,0.01,26264,0,220,1.46,1.85,2.25,1.46,1.85,2.25,8,8,404.29,111.75,10.14,1.86,0.8,0.19,1.52,1.7,1.88,1.52,1.7,1.88,7,7,417.8,110.41,8.09,0.86,0.43,0.0,105.93
2025/04/03T20:00:59z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,54,64,42,976.78,0.01,26264,0,340,0.93,1.37,1.61,0.93,1.37,1.61,6,6,325.21,89.75,5.39,1.82,0.26,0.18,0.86,1.34,1.56,0.86,1.34,1.56,6,6,349.32,94.81,7.42,0.42,0.25,0.0,110.12
2025/04/03T20:02:59z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,54,64,42,976.88,0.01,26264,0,460,0.62,0.91,1.18,0.62,0.91,1.18,4,4,284.79,76.59,5.48,0.95,0.3,0.0,0.71,1.15,1.15,0.71,1.15,1.15,5,5,319.68,82.97,7.27,0.0,0.0,0.0,111.06
2025/04/03T20:04:59z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,55,63,43,976.66,0.01,26264,0,580,1.34,1.93,2.15,1.34,1.93,2.15,8,8,384.2,110.68,10.66,1.22,0.41,0.0,1.77,2.11,2.3,1.77,2.11,2.3,9,9,493.63,137.02,7.79,0.93,0.19,0.0,117.39
2025/04/03T20:06:59z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,55,62,42,976.46,0.01,26264,0,700,1.12,1.71,2.47,1.12,1.71,2.47,7,7,355.73,105.02,9.68,1.71,1.34,0.34,1.51,2.16,2.25,1.51,2.16,2.25,9,9,446.84,121.26,10.37,0.89,0.07,0.0,115.10
2025/04/03T20:08:59z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,55,63,42,976.35,0.01,26264,0,820,1.21,1.56,1.68,1.21,1.56,1.68,7,7,368.32,101.86,9.3,0.79,0.26,0.09,0.78,1.24,1.78,0.78,1.24,1.78,5,5,340.12,89.49,8.44,1.2,0.92,0.0,112.91
2025/04/03T20:10:59z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,55,63,42,976.44,0.01,26264,0,940,0.74,1.02,1.53,0.74,1.02,1.53,4,4,307.89,84.58,5.72,0.84,0.63,0.23,1.24,1.41,1.49,1.24,1.41,1.49,6,6,385.32,104.31,7.54,0.54,0.08,0.0,109.59
2025/04/03T20:12:59z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,61,43,976.46,0.01,26264,0,1060,1.14,1.86,2.19,1.14,1.86,2.19,8,8,407.59,115.38,9.81,1.5,0.38,0.14,1.29,2.0,2.74,1.29,2.0,2.74,8,8,445.71,119.71,11.09,1.57,1.12,0.21,112.83
2025/04/03T20:14:59z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,61,43,976.67,0.01,26264,0,1180,0.85,1.41,2.05,0.85,1.41,2.05,6,6,340.88,96.14,9.61,1.83,0.98,0.73,1.37,1.81,1.96,1.37,1.81,1.96,8,8,417.68,116.91,9.93,0.32,0.28,0.0,117.72
